NAME,GEO_ID,COMM,COMM_LABEL,YEAR,VAL,TON,state,cfs area (or part)
1,'Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '03', 'Agricultural products (excludes animal feed, cereal grains, and forage products)', '2012', '0', '0', '01', '14200000'
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '339', 'Other articles of metal', '2017', '486', '62', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3399', 'Other articles of non-precious metal, not elsewhere classified (excludes electrically insulated products, nails and staples, backed or printed foil, and musical instruments)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '339', 'Other articles of metal', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3391', 'Containers of a capacity not exceeding 300 liters, not elsewhere classified (excludes containers for compressed or liquefied gas)', '2012', '210', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3391', 'Containers of a capacity not exceeding 300 liters, not elsewhere classified (excludes containers for compressed or liquefied gas)', '2017', '36', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3399', 'Other articles of non-precious metal, not elsewhere classified (excludes electrically insulated products, nails and staples, backed or printed foil, and musical instruments)', '2017', '450', '61', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '34', 'Machinery', '2012', '2655', '271', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '34', 'Machinery', '2017', '4179', '266', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3411', 'Spark-ignition reciprocating internal-combustion engines with a cylinder capacity exceeding 1,000 cc', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '341', 'Internal-combustion engines and parts', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '341', 'Internal-combustion engines and parts', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3411', 'Spark-ignition reciprocating internal-combustion engines with a cylinder capacity exceeding 1,000 cc', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3412', 'Other internal-combustion engines', '2012', '2', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3412', 'Other internal-combustion engines', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3413', 'Parts of internal-combustion piston engines (excludes pumps for liquids, crankshafts and camshafts, and bearings)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3413', 'Parts of internal-combustion piston engines (excludes pumps for liquids, crankshafts and camshafts, and bearings)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '342', 'Turbines, boilers, nuclear reactors, and nonelectric engines and motors (excludes internal-combustion)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '342', 'Turbines, boilers, nuclear reactors, and nonelectric engines and motors (excludes internal-combustion)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3421', 'Steam, vapor, hydraulic, and gas turbines (includes for aircraft)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3422', 'Boilers, nuclear reactors,  and nonelectric motors (excludes internal-combustion piston engines, includes missile and rocket reaction engines)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3422', 'Boilers, nuclear reactors,  and nonelectric motors (excludes internal-combustion piston engines, includes missile and rocket reaction engines)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '343', 'Pumps, compressors, fans, and ventilating or recycling hoods incorporating a fan', '2012', '367', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '343', 'Pumps, compressors, fans, and ventilating or recycling hoods incorporating a fan', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3431', 'Pumps for liquids', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3431', 'Pumps for liquids', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3432', 'Air or vacuum pumps and air or other gas compressors', '2012', '0', '1', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3432', 'Air or vacuum pumps and air or other gas compressors', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '344', 'Air-conditioning, refrigerating, or freezing equipment', '2017', '226', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3433', 'Fans and ventilating or recycling hoods incorporating a fan', '2012', '50', '3', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3433', 'Fans and ventilating or recycling hoods incorporating a fan', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '344', 'Air-conditioning, refrigerating, or freezing equipment', '2012', '331', '22', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3441', 'Air-conditioning equipment (excludes compressors and evaporative air coolers)', '2012', '277', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3441', 'Air-conditioning equipment (excludes compressors and evaporative air coolers)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3442', 'Refrigerating or freezing equipment (excludes compressors)', '2012', '54', '3', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3442', 'Refrigerating or freezing equipment (excludes compressors)', '2017', '83', '4', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '345', 'Materials-handling, excavating, boring, and related machinery and equipment', '2012', '825', '164', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '345', 'Materials-handling, excavating, boring, and related machinery and equipment', '2017', '384', '57', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3451', 'Lifting, handling, loading, or unloading machinery and equipment ', '2012', '64', '7', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3451', 'Lifting, handling, loading, or unloading machinery and equipment ', '2017', '0', '18', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3452', 'Moving, grading, levelling, scraping, excavating, tamping, compacting, extracting, or boring machinery', '2012', '761', '158', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3452', 'Moving, grading, levelling, scraping, excavating, tamping, compacting, extracting, or boring machinery', '2017', '247', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '349', 'Other mechanical machinery, not elsewhere classified', '2012', '0', '58', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '349', 'Other mechanical machinery, not elsewhere classified', '2017', '817', '39', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3491', 'Dishwashing machines, machinery for cleaning or drying bottles or other containers', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3491', 'Dishwashing machines, machinery for cleaning or drying bottles or other containers', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3492', 'Agricultural, horticultural, forestry, and poultry- or bee-keeping machinery (excludes powered hand tools, tractors, trailers, wagons, and machinery for spraying or drying)', '2017', '57', '8', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3493', 'Textile manufacturing machines, laundry and sewing machines', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3494', 'Machine-tools (excludes for semiconductor devices) for working hard materials', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3494', 'Machine-tools (excludes for semiconductor devices) for working hard materials', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3495', 'Powered hand-tools, pneumatic, hydraulic, or with a self-contained electric or non-electric motor', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3495', 'Powered hand-tools, pneumatic, hydraulic, or with a self-contained electric or non-electric motor', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3499', 'Other machinery', '2012', '737', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3496', 'Machines and apparatus for soldering, brazing, welding, surface tempering, hot spraying of metals, and wire, rods, electrodes, and similar products for use with such machines and apparatus', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3497', 'Ball or roller bearings, transmission shafts and cranks, bearing housings', '2012', '37', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3497', 'Ball or roller bearings, transmission shafts and cranks, bearing housings', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3499', 'Other machinery', '2017', '402', '16', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '35', 'Electronic and other electrical equipment and components, and office equipment', '2012', '1997', '321', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '35', 'Electronic and other electrical equipment and components, and office equipment', '2017', '1355', '75', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3511', 'Electric motors, generators, generating sets, and rotary converters', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '351', 'Electric motors, generators, rotary or static converters, and transformers', '2012', '55', '2', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '351', 'Electric motors, generators, rotary or static converters, and transformers', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3511', 'Electric motors, generators, generating sets, and rotary converters', '2012', '21', '2', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3512', 'Electric or electronic transformers, static converters (includes rectifiers, inductors, and power supplies for small appliances and computers)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3512', 'Electric or electronic transformers, static converters (includes rectifiers, inductors, and power supplies for small appliances and computers)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '352', 'Electric cooking appliances, electro-thermic, or electro-mechanical domestic appliances', '2012', '53', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '352', 'Electric cooking appliances, electro-thermic, or electro-mechanical domestic appliances', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3521', 'Electric cooking appliances, and microwave ovens', '2012', '32', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3521', 'Electric cooking appliances, and microwave ovens', '2017', '5', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3522', 'Electromechanical or electro-thermic domestic appliances (excludes cooking)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3522', 'Electromechanical or electro-thermic domestic appliances (excludes cooking)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '353', 'Line telephone or telegraph apparatus', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '353', 'Line telephone or telegraph apparatus', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3531', 'Telephone or telegraph switching apparatus (excludes parts)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3531', 'Telephone or telegraph switching apparatus (excludes parts)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '354', 'Electronic entertainment products (excludes parts)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3539', 'Other line telephone and telegraph communication apparatus, not elsewhere classified (includes telephones, fax machines, ISDN apparatus, modems, and parts for telephone switching)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3539', 'Other line telephone and telegraph communication apparatus, not elsewhere classified (includes telephones, fax machines, ISDN apparatus, modems, and parts for telephone switching)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '354', 'Electronic entertainment products (excludes parts)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3540', 'Electronic entertainment products (excludes parts)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3540', 'Electronic entertainment products (excludes parts)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '355', 'Computer and electronic office equipment', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '355', 'Computer and electronic office equipment', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3551', 'Computer equipment (excludes parts)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3551', 'Computer equipment (excludes parts)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3552', 'Office equipment (excludes photocopiers, and facsimile machines)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3552', 'Office equipment (excludes photocopiers, and facsimile machines)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '356', 'Prepared unrecorded or prerecorded media', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3561', 'Prepared unrecorded media for audio, video, computer, or other uses', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3562', 'Computer software, pre-recorded media', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '357', 'Transmission, and reception apparatus for radio, television, radar, and remote-control', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '357', 'Transmission, and reception apparatus for radio, television, radar, and remote-control', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3570', 'Transmission apparatus for radio or television broadcasting, radio', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3570', 'Transmission apparatus for radio or television broadcasting, radio', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '358', 'Electronic components and parts', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '358', 'Electronic components and parts', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3581', 'Electronic parts', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3581', 'Electronic parts', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3582', 'Parts for electronic entertainment products (includes cabinets)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3582', 'Parts for electronic entertainment products (includes cabinets)', '2017', '38', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '359', 'Other electronic and electrical equipment, not elsewhere classified', '2017', '799', '59', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3592', 'Apparatus for switching, protecting, or connecting to electrical circuits', '2012', '376', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '359', 'Other electronic and electrical equipment, not elsewhere classified', '2012', '1657', '294', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3591', 'Primary and secondary cells and batteries', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3591', 'Primary and secondary cells and batteries', '2017', '1', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3592', 'Apparatus for switching, protecting, or connecting to electrical circuits', '2017', '163', '7', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3599', 'Other electronic and electrical equipment and components', '2012', '1280', '264', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3599', 'Other electronic and electrical equipment and components', '2017', '636', '52', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '36', 'Motorized and other vehicles (includes parts)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '36', 'Motorized and other vehicles (includes parts)', '2017', '17045', '2662', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3610', 'Motor vehicles for the transport of less than 10 people', '2017', '14158', '1158', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '361', 'Motorized vehicles for transport of less than 10 people (excludes motorcycles, armored, and recreational)', '2012', '8264', '735', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '361', 'Motorized vehicles for transport of less than 10 people (excludes motorcycles, armored, and recreational)', '2017', '14158', '1158', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3610', 'Motor vehicles for the transport of less than 10 people', '2012', '8264', '735', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '362', 'Motor vehicles for the transport of goods, and  road tractors for semi-trailers', '2012', '175', '58', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '362', 'Motor vehicles for the transport of goods, and  road tractors for semi-trailers', '2017', '1', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3621', 'Motor vehicles for the transport of goods (excludes parts)', '2012', '175', '58', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3622', 'Road tractors for semitrailers (excludes parts)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3622', 'Road tractors for semitrailers (excludes parts)', '2017', '1', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '363', 'Other vehicles', '2012', '82', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '363', 'Other vehicles', '2017', '235', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3631', 'Tractors, except road tractors, work tractors (excludes tractor parts)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3632', 'Motor vehicles for the transport of 10 people or more', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3633', 'Special-purpose motor vehicles (excludes parts)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3634', 'Chassis fitted with engines, and separate bodies, for motor vehicles', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '364', 'Motor vehicles parts and accessories (excludes motorcycles and armored fighting vehicles)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3635', 'Motorcycles, bicycles, and other cycles', '2017', '225', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3636', 'Trailers, semitrailers, and parts', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3639', 'Armored fighting vehicles and their parts, and other vehicles, not elsewhere classified', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '364', 'Motor vehicles parts and accessories (excludes motorcycles and armored fighting vehicles)', '2017', '2652', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3640', 'Motor vehicle parts (excludes motorcycles and armored fighting vehicles)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3640', 'Motor vehicle parts (excludes motorcycles and armored fighting vehicles)', '2017', '2652', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '37', 'Transportation equipment, not elsewhere classified', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '37', 'Transportation equipment, not elsewhere classified', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3710', 'Railway equipment, and parts', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '371', 'Railway equipment (includes locomotives and rolling stock, railway track fixtures and fittings, and parts)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '371', 'Railway equipment (includes locomotives and rolling stock, railway track fixtures and fittings, and parts)', '2017', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3710', 'Railway equipment, and parts', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '372', 'Aircraft and spacecraft', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '372', 'Aircraft and spacecraft', '2017', '196', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3721', 'Aircraft (excludes parts)', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3723', 'Parts of aircraft and spacecraft (excludes engines, turbines, tires, pumps for liquids, filters, plastics, glass, windshield wipers, defrosters, seats, lighting, ignition and starting equipment)', '2017', '196', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '38', 'Precision instruments and apparatus', '2012', '0', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '38', 'Precision instruments and apparatus', '2017', '920', '5', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '3810', 'Optical elements, instruments, and apparatus (excludes photographic and cinematographic)', '2017', '9', '0', '01', '14200000']
['Birmingham-Hoover-Talladega, AL CFS Area; Alabama; Alabama', 'E330000US0114200000', '381', 'Optical elements, instruments, and apparatus (excludes photographic and cinematographic)', '2012', '0', '0', '01', '14200000']
